[Luna] 05:08:43.622 [main] INFO  fun.efto.luna.agent.Agent - Initialized builtin plugin: trace (方法耗时追踪)
[Luna] 05:08:43.622 [main] INFO  fun.efto.luna.agent.Agent - Initialized builtin plugin: conditional-breakpoint (条件断点)
[Luna] 05:08:44.144 [main] INFO  fun.efto.luna.shadow.jetty.util.log - Logging initialized @1386ms to fun.efto.luna.shadow.jetty.util.log.Slf4jLog
[Luna] 05:08:44.262 [main] INFO  fun.efto.luna.shadow.jetty.server.Server - jetty-9.4.53.v20231009; built: 2023-10-09T12:29:09.265Z; git: 27bde00a0b95a1d5bbee0eae7984f891d2d0f8c9; jvm 1.8.0_202-b08
[Luna] 05:08:44.297 [main] INFO  fun.efto.luna.shadow.jetty.server.session - DefaultSessionIdManager workerName=node0
[Luna] 05:08:44.297 [main] INFO  fun.efto.luna.shadow.jetty.server.session - No SessionScavenger set, using defaults
[Luna] 05:08:44.300 [main] INFO  fun.efto.luna.shadow.jetty.server.session - node0 Scavenging every 660000ms
[Luna] 05:08:44.336 [main] INFO  fun.efto.luna.shadow.jetty.server.handler.ContextHandler - Started f.e.l.s.j.s.ServletContextHandler@2d52216b{Luna Web Server,/,null,AVAILABLE}
[Luna] 05:08:45.126 [main] INFO  fun.efto.luna.shadow.jetty.server.AbstractConnector - Started ServerConnector@3c9754d8{HTTP/1.1, (http/1.1)}{0.0.0.0:8421}
[Luna] 05:08:45.127 [main] INFO  fun.efto.luna.shadow.jetty.server.Server - Started @2369ms
[Luna] 05:08:45.127 [main] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - Luna 日志分发器已启动
[Luna] 05:08:45.127 [main] INFO  fun.efto.luna.agent.web.JettyWebServer - Luna Web服务器启动成功:
[Luna] 05:08:45.128 [main] INFO  fun.efto.luna.agent.web.JettyWebServer -   - HTTP服务: http://0.0.0.0:8421
[Luna] 05:08:45.128 [main] INFO  fun.efto.luna.agent.web.JettyWebServer -   - WebSocket服务: ws://0.0.0.0:8421/ws/log
[Luna] 05:08:45.128 [main] INFO  fun.efto.luna.agent.Agent - Luna agent started successfully, web server on port 8421
[Luna] 05:08:45.129 [main] INFO  fun.efto.luna.agent.Agent - Scanning already loaded classes for active injections...
[Luna] 05:08:45.133 [main] INFO  fun.efto.luna.agent.Agent - Initial injection application completed.
[Luna] 05:09:12.758 [qtp2040467681-22] INFO  fun.efto.luna.core.transformer.GlobalClassFileTransformer - Applying 1 active injection point(s) to class: fun.efto.luna.demo.service.UserService
[Luna] 05:09:12.780 [qtp2040467681-22] INFO  fun.efto.luna.core.transformer.GlobalClassFileTransformer - Successfully applied injection point [id=add33785-1409-46ff-acee-96344ec6d66b, type=line_before(21), method=createUser] to class: fun.efto.luna.demo.service.UserService
[Luna] 05:09:12.788 [qtp2040467681-22] INFO  fun.efto.luna.core.injection.InjectionManager - Retransform triggered for class [fun.efto.luna.demo.service.UserService]
[Luna] 05:09:15.200 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 11
[Luna] 05:09:18.204 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 12
[Luna] 05:09:21.204 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 13
[Luna] 05:09:24.208 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 14
[Luna] 05:09:27.209 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 15
[Luna] 05:09:30.210 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 16
[Luna] 05:09:33.210 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 17
[Luna] 05:09:36.213 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 18
[Luna] 05:09:39.214 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 19
[Luna] 05:09:42.215 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 20
[Luna] 05:09:45.217 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 21
[Luna] 05:09:48.217 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 22
[Luna] 05:09:51.219 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 23
[Luna] 05:09:54.220 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 24
[Luna] 05:09:57.222 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 25
[Luna] 05:10:00.223 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 26
[Luna] 05:10:03.225 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 27
[Luna] 05:10:06.228 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 28
[Luna] 05:10:09.229 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 29
[Luna] 05:10:12.230 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 30
[Luna] 05:10:12.942 [qtp2040467681-9] INFO  fun.efto.luna.core.transformer.GlobalClassFileTransformer - Applying 2 active injection point(s) to class: fun.efto.luna.demo.service.UserService
[Luna] 05:10:12.945 [qtp2040467681-9] INFO  fun.efto.luna.core.transformer.GlobalClassFileTransformer - Successfully applied injection point [id=add33785-1409-46ff-acee-96344ec6d66b, type=line_before(21), method=createUser] to class: fun.efto.luna.demo.service.UserService
[Luna] 05:10:12.947 [qtp2040467681-9] INFO  fun.efto.luna.core.transformer.GlobalClassFileTransformer - Successfully applied injection point [id=64f04f9b-7a03-4e24-8cfa-a8509e76cde1, type=line_before(33), method=createUser] to class: fun.efto.luna.demo.service.UserService
[Luna] 05:10:12.963 [qtp2040467681-9] INFO  fun.efto.luna.core.injection.InjectionManager - Retransform triggered for class [fun.efto.luna.demo.service.UserService]
[Luna] 05:10:15.232 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 31
[Luna] 05:10:15.232 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 33 check User{id=31, name='User31', age=51, email='user31@example.com'}
[Luna] 05:10:18.234 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 32
[Luna] 05:10:18.234 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 33 check User{id=32, name='User32', age=52, email='user32@example.com'}
[Luna] 05:10:21.237 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 33
[Luna] 05:10:21.237 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 33 check User{id=33, name='User33', age=53, email='user33@example.com'}
[Luna] 05:10:24.238 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 34
[Luna] 05:10:24.238 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 33 check User{id=34, name='User34', age=54, email='user34@example.com'}
[Luna] 05:10:27.240 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 35
[Luna] 05:10:27.240 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 33 check User{id=35, name='User35', age=55, email='user35@example.com'}
[Luna] 05:10:30.242 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 36
[Luna] 05:10:30.242 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 33 check User{id=36, name='User36', age=56, email='user36@example.com'}
[Luna] 05:10:33.243 [Luna-Log-Dispatcher] INFO  fun.efto.luna.agent.web.ws.LogDispatcher - [Diagnostic] [LOG] line before: Line 21 check 37
